date,value
2016-04-13,95
2016-04-14,86
2016-04-15,97
2016-04-16,157
2016-04-17,172
2016-04-18,121
2016-04-19,130
2016-04-20,98
2016-04-21,86
2016-04-22,101
2016-04-23,165
2016-04-24,155
2016-04-25,138
2016-04-26,111
2016-04-27,108
2016-04-28,98
2016-04-29,113
2016-04-30,115
2016-05-01,134
2016-05-02,95
2016-05-03,106
2016-05-04,108
2016-05-05,95
2016-05-06,117
2016-05-07,157
2016-05-08,143
2016-05-09,111
2016-05-10,92
2016-05-11,124
2016-05-12,104
2016-05-13,110
2016-05-14,148
2016-05-15,147
2016-05-16,105
2016-05-17,98
2016-05-18,121
2016-05-19,100
2016-05-20,109
2016-05-21,131
2016-05-22,142
2016-05-23,129
2016-05-24,95
2016-05-25,148
2016-05-26,133
2016-05-27,125
2016-05-28,144
2016-05-29,173
2016-05-30,126
2016-05-31,122
2016-06-01,107
2016-06-02,87
2016-06-03,107
2016-06-04,137
2016-06-05,145
2016-06-06,117
2016-06-07,102
2016-06-08,132
2016-06-09,113
2016-06-10,114
2016-06-11,162
2016-06-12,230
2016-06-13,132
2016-06-14,108
2016-06-15,88
2016-06-16,96
2016-06-18,167
2016-06-19,157
2016-06-20,131
2016-06-21,131
2016-06-22,110
2016-06-23,94
2016-06-24,154
2016-06-25,166
2016-06-26,204
2016-06-27,129
2016-06-28,136
2016-06-29,113
2016-06-30,111
2016-07-01,110
2016-07-02,154
2016-07-03,154
2016-07-04,216
2016-07-05,160
2016-07-06,141
2016-07-07,128
2016-07-08,106
2016-07-09,123
2016-07-10,138
2016-07-11,132
2016-07-12,115
2016-07-13,124
2016-07-14,115
2016-07-15,119
2016-07-16,192
2016-07-17,222
2016-07-18,122
2016-07-19,115
2016-07-20,147
2016-07-21,91
2016-07-22,115
2016-07-23,190
2016-07-24,177
2016-07-25,168
2016-07-26,127
2016-07-27,136
2016-07-28,122
2016-07-29,127
2016-07-30,186
2016-07-31,165
2016-08-01,115
2016-08-02,142
2016-08-03,128
2016-08-04,135
2016-08-05,156
2016-08-06,159
2016-08-07,203
2016-08-08,151
2016-08-09,118
2016-08-10,135
2016-08-11,123
2016-08-12,143
2016-08-13,170
2016-08-14,200
2016-08-15,126
2016-08-16,114
2016-08-17,117
2016-08-18,138
2016-08-19,106
2016-08-20,182
2016-08-21,208
2016-08-22,126
2016-08-23,126
2016-08-24,109
2016-08-25,106
2016-08-26,122
2016-08-27,173
2016-08-28,215
2016-08-29,137
2016-08-30,154
2016-08-31,124
2016-09-01,126
2016-09-02,103
2016-09-03,170
2016-09-04,183
2016-09-05,190
2016-09-06,119
2016-09-07,140
2016-09-08,104
2016-09-09,115
2016-09-10,147
2016-09-11,176
2016-09-12,104
2016-09-13,114
2016-09-14,116
2016-09-15,107
2016-09-16,121
2016-09-17,172
2016-09-18,147
2016-09-19,109
2016-09-20,106
2016-09-21,130
2016-09-22,86
2016-09-23,112
2016-09-24,140
2016-09-25,179
2016-09-26,124
2016-09-27,95
2016-09-28,128
2016-09-29,114
2016-09-30,107
2016-10-01,162
2016-10-02,150
2016-10-03,101
2016-10-04,98
2016-10-05,104
2016-10-06,92
2016-10-07,92
2016-10-08,129
2016-10-09,158
2016-10-10,151
2016-10-11,127
2016-10-12,137
2016-10-13,124
2016-10-14,127
2016-10-15,191
2016-10-16,176
2016-10-17,113
2016-10-18,138
2016-10-19,125
2016-10-20,86
2016-10-21,106
2016-10-22,157
2016-10-23,153
2016-10-24,126
2016-10-25,138
2016-10-26,122
2016-10-27,120
2016-10-28,112
2016-10-29,170
2016-10-30,207
2016-10-31,156
2016-11-01,144
2016-11-02,129
2016-11-03,122
2016-11-04,119
2016-11-05,156
2016-11-06,168
2016-11-07,130
2016-11-08,106
2016-11-09,73
2016-11-10,117
2016-11-11,136
2016-11-12,159
2016-11-13,165
2016-11-14,131
2016-11-15,121
2016-11-16,118
2016-11-17,129
2016-11-18,146
2016-11-19,146
2016-11-20,126
2016-11-21,108
2016-11-22,137
2016-11-23,112
2016-11-24,122
2016-11-25,143
2016-11-26,152
2016-11-27,197
2016-11-28,140
2016-11-29,126
2016-11-30,132
2016-12-01,126
2016-12-02,135
2016-12-03,147
2016-12-04,140
2016-12-05,109
2016-12-06,107
2016-12-07,92
2016-12-08,125
2016-12-09,136
2016-12-10,116
2016-12-11,153
2016-12-12,134
2016-12-13,112
2016-12-14,106
2016-12-15,98
2016-12-16,90
2016-12-17,160
2016-12-18,93
2016-12-19,91
2016-12-20,120
2016-12-21,112
2016-12-22,110
2016-12-23,150
2016-12-24,137
2016-12-25,124
2016-12-26,137
2016-12-27,133
2016-12-28,146
2016-12-29,138
2016-12-30,115
2016-12-31,166
2017-01-01,253
2017-01-02,130
2017-01-03,146
2017-01-04,96
2017-01-05,79
2017-01-06,102
2017-01-07,121
2017-01-08,117
2017-01-09,108
2017-01-10,114
2017-01-11,123
2017-01-12,134
2017-01-13,129
2017-01-14,150
2017-01-15,147
2017-01-16,171
2017-01-17,125
2017-01-18,132
2017-01-19,105
2017-01-20,119
2017-01-21,154
2017-01-22,140
2017-01-23,121
2017-01-25,120
2017-01-26,124
2017-01-27,134
2017-01-28,166
2017-01-29,146
2017-01-30,133
2017-01-31,121
2017-02-01,112
2017-02-02,97
2017-02-03,104
2017-02-04,113
2017-02-05,124
2017-02-06,132
2017-02-07,146
2017-02-08,107
2017-02-09,104
2017-02-10,104
2017-02-11,158
2017-02-12,170
2017-02-13,103
2017-02-14,97
2017-02-15,114
2017-02-16,99
2017-02-17,116
2017-02-18,143
2017-02-19,181
2017-02-20,132
2017-02-21,106
2017-02-22,134
2017-02-23,123
2017-02-24,99
2017-02-25,117
2017-02-26,88
2017-02-27,96
2017-02-28,119
2017-03-01,88
2017-03-02,94
2017-03-03,82
2017-03-04,132
2017-03-05,112
2017-03-06,96
2017-03-07,93
2017-03-08,98
2017-03-09,99
2017-03-10,111
2017-03-11,100
2017-03-12,95
2017-03-13,98
2017-03-14,80
2017-03-15,102
2017-03-16,83
2017-03-17,106
2017-03-18,124
2017-03-19,135
2017-03-20,101
2017-03-21,106
2017-03-22,114
2017-03-23,99
2017-03-24,154
2017-03-25,168
2017-03-26,193
2017-03-27,131
2017-03-28,121
2017-03-29,134
2017-03-30,110
2017-03-31,94
2017-04-01,131
2017-04-02,150
2017-04-03,121
2017-04-04,116
2017-04-05,102
2017-04-06,107
2017-04-07,134
2017-04-08,132
2017-04-09,174
2017-04-10,128
2017-04-11,122
2017-04-12,112
2017-04-13,122
2017-04-14,115
2017-04-15,171
2017-04-16,178
2017-04-17,127
2017-04-18,116
2017-04-19,98
2017-04-20,118
2017-04-21,103
2017-04-22,152
2017-04-23,159
2017-04-24,132
2017-04-25,112
2017-04-26,139
2017-04-27,95
2017-04-28,106
2017-04-29,155
2017-04-30,152
2017-05-01,136
2017-05-02,127
2017-05-03,104
2017-05-04,67
2017-05-05,126
2017-05-06,121
2017-05-07,167
2017-05-08,121
2017-05-09,119
2017-05-10,100
2017-05-11,109
2017-05-12,119
2017-05-13,134
2017-05-14,169
2017-05-15,154
2017-05-16,143
2017-05-17,131
2017-05-18,114
2017-05-19,116
2017-05-20,141
2017-05-21,162
2017-05-22,136
2017-05-23,107
2017-05-24,129
2017-05-25,119
2017-05-26,116
2017-05-27,188
2017-05-28,211
2017-05-29,169
2017-05-30,140
2017-05-31,126
2017-06-01,109
2017-06-02,136
2017-06-03,159
2017-06-04,143
2017-06-05,123
2017-06-06,137
2017-06-07,123
2017-06-08,135
2017-06-09,119
2017-06-10,127
2017-06-11,191
2017-06-12,142
2017-06-13,119
2017-06-14,98
2017-06-15,145
2017-06-16,126
2017-06-17,173
2017-06-18,183
2017-06-19,140
2017-06-20,112
2017-06-21,133
2017-06-22,118
2017-06-23,122
2017-06-24,167
2017-06-25,153
2017-06-26,113
2017-06-27,114
2017-06-28,135
2017-06-29,132
2017-06-30,118
2017-07-01,190
2017-07-02,188
2017-07-03,147
2017-07-04,208
2017-07-05,198
2017-07-06,124
2017-07-07,132
2017-07-08,171
2017-07-09,192
2017-07-10,99
2017-07-11,106
2017-07-12,131
2017-07-13,106
2017-07-14,116
2017-07-15,136
2017-07-16,166
2017-07-17,135
2017-07-18,131
2017-07-19,157
2017-07-20,110
2017-07-21,120
2017-07-22,119
2017-07-23,166
2017-07-24,112
2017-07-25,132
2017-07-26,118
2017-07-27,107
2017-07-28,129
2017-07-29,146
2017-07-30,179
2017-07-31,138
2017-08-01,159
2017-08-02,130
2017-08-03,157
2017-08-04,109
2017-08-05,174
2017-08-06,176
2017-08-07,130
2017-08-08,119
2017-08-09,108
2017-08-10,105
2017-08-11,118
2017-08-12,127
2017-08-13,187
2017-08-14,136
2017-08-15,130
2017-08-16,89
2017-08-17,91
2017-08-18,118
2017-08-19,157
2017-08-20,175
2017-08-21,149
2017-08-22,102
2017-08-23,137
2017-08-24,114
2017-08-25,122
2017-08-26,131
2017-08-27,144
2017-08-28,108
2017-08-29,111
2017-08-30,117
2017-08-31,125
2017-09-01,123
2017-09-02,109
2017-09-03,174
2017-09-04,146
2017-09-05,109
2017-09-06,100
2017-09-07,93
2017-09-08,85
2017-09-09,124
2017-09-10,133
2017-09-11,97
2017-09-12,109
2017-09-13,89
2017-09-14,102
2017-09-15,112
2017-09-16,152
2017-09-17,186
2017-09-18,121
2017-09-19,123
2017-09-20,119
2017-09-21,120
2017-09-22,120
2017-09-23,173
2017-09-24,183
2017-09-25,115
2017-09-26,125
2017-09-27,118
2017-09-28,105
